sample_index,time_s,voltage_mV
0,0.0,2.42886
1,0.002,2.42886
2,0.004,2.42564
3,0.006,2.43048
4,0.008,2.41758
5,0.01,2.41033
6,0.012,2.41275
7,0.014,2.41839
8,0.016,2.42806
9,0.018,2.40549
10,0.02,2.42403
11,0.022,2.41678
12,0.024,2.40952
13,0.026,2.40469
14,0.028,2.40711
15,0.03,2.41275
16,0.032,2.41839
17,0.034,2.42806
18,0.036,2.43128
19,0.038,2.43209
20,0.04,2.42
21,0.042,2.43128
22,0.044,2.42886
23,0.046,2.43692
24,0.048,2.43853
25,0.05,2.42161
26,0.052,2.41839
27,0.054,2.41597
28,0.056,2.40952
29,0.058,2.41839
30,0.06,2.41436
31,0.062,2.41597
32,0.064,2.4063
33,0.066,2.40549
34,0.068,2.41758
35,0.07,2.41275
36,0.072,2.40872
37,0.074,2.40711
38,0.076,2.41516
39,0.078,2.40872
40,0.08,2.41597
41,0.082,2.41839
42,0.084,2.41839
43,0.086,2.41839
44,0.088,2.42725
45,0.09,2.42322
46,0.092,2.43048
47,0.094,2.42564
48,0.096,2.43048
49,0.098,2.42645
50,0.1,2.43128
51,0.102,2.42564
52,0.104,2.41919
53,0.106,2.42161
54,0.108,2.43128
55,0.11,2.41597
56,0.112,2.41033
57,0.114,2.41033
58,0.116,2.41597
59,0.118,2.42081
60,0.12,2.42081
61,0.122,2.42564
62,0.124,2.42161
63,0.126,2.43209
64,0.128,2.43289
65,0.13,2.43773
66,0.132,2.43451
67,0.134,2.43773
68,0.136,2.43934
69,0.138,2.43451
70,0.14,2.41033
71,0.142,2.4063
72,0.144,2.41597
73,0.146,2.41839
74,0.148,2.42403
75,0.15,2.41758
76,0.152,2.42484
77,0.154,2.41597
78,0.156,2.41516
79,0.158,2.41839
80,0.16,2.41597
81,0.162,2.42081
82,0.164,2.42081
83,0.166,2.40711
84,0.168,2.41033
85,0.17,2.42
86,0.172,2.41033
87,0.174,2.40791
88,0.176,2.41597
89,0.178,2.41194
90,0.18,2.42564
91,0.182,2.41597
92,0.184,2.42161
93,0.186,2.42645
94,0.188,2.42161
95,0.19,2.43451
96,0.192,2.43209
97,0.194,2.42806
98,0.196,2.43128
99,0.198,2.42725
100,0.2,2.43128
101,0.202,2.4337
102,0.204,2.42
103,0.206,2.41919
104,0.208,2.42725
105,0.21,2.41114
106,0.212,2.42081
107,0.214,2.42645
108,0.216,2.40711
109,0.218,2.40549
110,0.22,2.41758
111,0.222,2.41919
112,0.224,2.41516
113,0.226,2.41516
114,0.228,2.42
115,0.23,2.42564
116,0.232,2.41194
117,0.234,2.43048
118,0.236,2.43531
119,0.238,2.42161
120,0.24,2.43451
121,0.242,2.43128
122,0.244,2.43451
123,0.246,2.39744
124,0.248,2.42886
125,0.25,2.42806
126,0.252,2.42161
127,0.254,2.41033
128,0.256,2.41436
129,0.258,2.42161
130,0.26,2.42
131,0.262,2.41275
132,0.264,2.41355
133,0.266,2.41275
134,0.268,2.42081
135,0.27,2.41516
136,0.272,2.41194
137,0.274,2.40711
138,0.276,2.4063
139,0.278,2.40388
140,0.28,2.41678
141,0.282,2.40711
142,0.284,2.42
143,0.286,2.41758
144,0.288,2.41758
145,0.29,2.42484
146,0.292,2.42161
147,0.294,2.43853
148,0.296,2.42725
149,0.298,2.41516
150,0.3,2.41355
151,0.302,2.41919
152,0.304,2.40872
153,0.306,2.40711
154,0.308,2.41758
155,0.31,2.42242
156,0.312,2.41033
157,0.314,2.42242
158,0.316,2.41355
159,0.318,2.40711
160,0.32,2.39985
161,0.322,2.41436
162,0.324,2.40872
163,0.326,2.42242
164,0.328,2.41919
165,0.33,2.42564
166,0.332,2.41678
167,0.334,2.42322
168,0.336,2.42564
169,0.338,2.43209
170,0.34,2.44256
171,0.342,2.44337
172,0.344,2.43934
173,0.346,2.44095
174,0.348,2.43853
175,0.35,2.44659
176,0.352,2.45062
177,0.354,2.44256
178,0.356,2.44418
179,0.358,2.43209
180,0.36,2.44015
181,0.362,2.44821
182,0.364,2.45385
183,0.366,2.45223
184,0.368,2.44418
185,0.37,2.44982
186,0.372,2.44095
187,0.374,2.44095
188,0.376,2.44015
189,0.378,2.44176
190,0.38,2.45143
191,0.382,2.44821
192,0.384,2.44821
193,0.386,2.44982
194,0.388,2.46352
195,0.39,2.45788
196,0.392,2.4611
197,0.394,2.46432
198,0.396,2.4619
199,0.398,2.45868
200,0.4,2.45385
201,0.402,2.44821
202,0.404,2.45385
203,0.406,2.45385
204,0.408,2.45546
205,0.41,2.45385
206,0.412,2.43612
207,0.414,2.44015
208,0.416,2.44821
209,0.418,2.45546
210,0.42,2.45626
211,0.422,2.45143
212,0.424,2.46996
213,0.426,2.46352
214,0.428,2.4748
215,0.43,2.49172
216,0.432,2.50059
217,0.434,2.50703
218,0.436,2.52234
219,0.438,2.52557
220,0.44,2.52637
221,0.442,2.7504
222,0.444,2.76007
223,0.446,2.74718
224,0.448,2.75121
225,0.45,2.76168
226,0.452,2.75927
227,0.454,2.75685
228,0.456,2.75201
229,0.458,2.74637
230,0.46,2.7633
231,0.462,2.74557
232,0.464,2.75282
233,0.466,2.75685
234,0.468,2.75443
235,0.47,2.7633
236,0.472,2.76249
237,0.474,2.74476
238,0.476,2.75766
239,0.478,2.75766
240,0.48,2.75846
241,0.482,2.76733
242,0.484,2.77377
243,0.486,2.76894
244,0.488,2.7778
245,0.49,2.77538
246,0.492,2.78103
247,0.494,2.78103
248,0.496,2.77619
249,0.498,2.7907
250,0.5,2.79634
251,0.502,2.78264
252,0.504,2.78103
253,0.506,2.78908
254,0.508,2.77941
255,0.51,2.77941
256,0.512,2.76733
257,0.514,2.77861
258,0.516,2.77941
259,0.518,2.78022
260,0.52,2.77861
261,0.522,2.78828
262,0.524,2.78022
263,0.526,2.79392
264,0.528,2.79231
265,0.53,2.82051
266,0.532,2.79392
267,0.534,2.79231
268,0.536,2.79231
269,0.538,2.78828
270,0.54,2.79553
271,0.542,2.79956
272,0.544,2.79714
273,0.546,2.79956
274,0.548,2.81407
275,0.55,2.80842
276,0.552,2.8052
277,0.554,2.80198
278,0.556,2.79875
279,0.558,2.79231
280,0.56,2.7915
281,0.562,2.78908
282,0.564,2.79231
283,0.566,2.777
284,0.568,2.77377
285,0.57,2.77619
286,0.572,2.77136
287,0.574,2.7641
288,0.576,2.76813
289,0.578,2.76571
290,0.58,2.75846
291,0.582,2.7641
292,0.584,2.76249
293,0.586,2.76652
294,0.588,2.75363
295,0.59,2.75604
296,0.592,2.75363
297,0.594,2.75121
298,0.596,2.75524
299,0.598,2.75363
300,0.6,2.75121
301,0.602,2.75121
302,0.604,2.73348
303,0.606,2.7359
304,0.608,2.73348
305,0.61,2.73106
306,0.612,2.71978
